city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tūkrah,32.53,20.58,63.21,83,4,12.73,LY,1587672213
1,Dikson,73.51,80.55,35.76,84,100,24.85,RU,1587672214
2,Chui,-33.7,-53.46,66.25,88,14,11.48,UY,1587672214
3,Jamestown,42.1,-79.24,53.6,54,75,3.36,US,1587672214
4,Vaini,-21.2,-175.2,77.0,94,75,5.82,TO,1587672214
5,Rikitea,-23.12,-134.97,75.81,76,0,12.91,PF,1587672214
6,Chokurdakh,70.63,147.92,16.74,95,0,6.96,RU,1587672214
7,Port Alfred,-33.59,26.89,63.0,90,99,2.93,ZA,1587672215
8,Jalpa,21.63,-102.97,84.2,5,75,2.24,MX,1587672215
9,Harper,4.38,-7.72,81.73,79,99,6.33,LR,1587672215
10,Ushuaia,-54.8,-68.3,46.4,70,40,24.16,AR,1587672051
11,Faanui,-16.48,-151.75,80.35,74,0,15.64,PF,1587672215
12,San Andrés,12.58,-81.7,87.8,62,75,6.93,CO,1587671990
13,Bethel,41.37,-73.41,48.0,42,75,4.7,US,1587672215
14,Antofagasta,-23.65,-70.4,68.0,60,20,13.87,CL,1587672216
15,Sitka,57.05,-135.33,44.6,87,90,5.82,US,1587672216
16,Pudozh,61.81,36.53,23.14,94,32,2.39,RU,1587672216
17,Tuatapere,-46.13,167.68,46.0,91,60,3.0,NZ,1587672216
18,Albany,42.6,-73.97,55.99,22,75,9.17,US,1587672216
19,Coyhaique,-45.58,-72.07,50.0,81,90,6.93,CL,1587672217
20,Leningradskiy,69.38,178.42,18.41,91,0,1.88,RU,1587672217
21,Cherskiy,68.75,161.3,25.29,92,87,6.71,RU,1587672217
22,New Norfolk,-42.78,147.06,57.0,69,30,3.0,AU,1587672217
23,Busselton,-33.65,115.33,57.99,77,39,5.14,AU,1587672218
24,Caramay,10.18,119.24,81.88,78,2,13.31,PH,1587672218
25,Mataura,-46.19,168.86,46.0,91,34,3.0,NZ,1587672218
26,Nemuro,43.32,145.57,35.01,83,15,15.37,JP,1587672218
27,St. George's,12.06,-61.75,84.2,74,75,11.41,GD,1587672029
28,Qaanaaq,77.48,-69.36,22.26,94,100,9.24,GL,1587672219
29,Atuona,-9.8,-139.03,81.97,74,15,13.33,PF,1587672219
30,São João da Barra,-21.64,-41.05,80.6,57,20,12.75,BR,1587672098
31,George Town,5.41,100.34,78.8,100,20,4.7,MY,1587672073
32,Katsuura,35.13,140.3,51.8,50,48,11.41,JP,1587672219
33,Cabo San Lucas,22.89,-109.91,86.0,28,5,4.7,MX,1587672000
34,Nanortalik,60.14,-45.24,37.74,89,42,14.12,GL,1587672219
35,Waipawa,-41.41,175.52,57.99,87,11,9.17,NZ,1587672220
36,Laela,-8.57,32.05,59.5,62,15,4.7,TZ,1587672220
